;03.543.447/0001-03;07.861.554/0001-22;08.070.841/0001-87;08.246.318/0001-69;08.266.261/0001-60;09.635.172/0001-06;10.740.670/0001-06;11.061.217/0001-28;11.182.064/0001-77;11.328.882/0001-35;11.392.165/0001-72;11.458.144/0001-02;14.386.926/0001-71;14.508.605/0001-00;14.550.994/0001-24;15.486.093/0001-83;17.138.474/0001-05;20.139.595/0001-78;21.838.150/0001-49;23.215.097/0001-55;24.571.992/0001-75;25.078.994/0001-90;28.206.220/0001-95;29.258.294/0001-38;34.791.108/0001-61;35.002.482/0001-01;35.292.588/0001-89;37.308.394/0001-50;38.001.966/0001-16;40.190.534/0001-42;42.813.674/0001-55;46.134.096/0001-81;63.375.216/0001-51
2022-12-01;23,352551292;6,058771878;3,852995;4,841213;4,73718;2,7666265;2,9657;3,243383;3,7512777;3,090831898;5,7386747;14,869874;2,701466;2,467;1,6536851;2,852744968;28,9902966;1,58270869;20,356929;1,656014;21,044144;nan;1,317756;1,478818609;0,8866962;112,1618577;1,161862827;1,1391346;0,7266809;1,0082426;1,0201674;1,004987859;141,130018
2022-12-02;23,39721242;6,074846186;3,868144;4,8516706;4,749284;2,7825989;2,967653;3,250547;3,7894958;3,092858589;5,7819502;14,9983002;2,707868;2,476558;1,6682202;2,852721591;29,005731;1,58611489;20,430945;1,658056;21,163006;nan;1,318543;1,49316686;0,8933733;111,0938296;1,164430102;1,1269487;0,7353497;1,0171999;1,0238458;1,007997762;142,366992
2022-12-05;23,381796842;6,041675822;3,849133;4,8411508;4,725559;2,7169037;2,968522;3,243258;3,7024464;3,093762477;5,640119;14,6579672;2,706699;2,470586;1,634678;2,856352576;29,0210841;1,58644698;20,354726;1,65776;20,665379;nan;1,319223;1,457762505;0,8715095;108,7907912;1,16182177;1,148787;0,7414318;1,0100262;1,0161721;1,004108387;138,915669
2022-12-06;23,378441376;6,016218345;3,850653;4,8347765;4,707227;2,7291627;2,970014;3,239067;3,724747;3,095322461;5,6146774;14,7352218;2,708046;2,469158;1,6445774;2,856261527;29,03623;1,58793628;20,312883;1,658187;20,866724;nan;1,319943;1,46986805;0,8675878;106,9326538;1,160325284;1,1369746;0,7260388;0,9933355;1,0187909;1,002365021;140,237445
2022-12-07;23,417694393;6,025351357;3,849581;4,8404324;4,714142;2,7078998;2,972017;3,243325;3,7154222;3,097414143;5,6121629;14,5858184;2,714764;2,474373;1,6229212;2,854567474;29,0518724;1,5916938;20,363154;1,659616;20,619077;nan;1,320626;1,457103915;0,8672025;106,3603686;1,161844747;1,112433;0,7064001;0,9751336;1,0162837;1,004873334;139,20791
2022-12-08;23,428377764;6,017691779;3,842635;4,8389896;4,709036;2,6558076;2,973784;3,242495;3,6303068;3,099256323;5,5442397;14,3494161;2,717686;2,473848;1,5980334;2,853998;29,0675094;1,59343074;20,353186;1,660216;20,393463;nan;1,321376;1,431515559;0,8567296;107,793143;1,161533797;1,1158114;0,7076974;0,9799118;1,0113664;1,005007144;136,74321
2022-12-09;23,39844949;6,001828975;3,846025;4,8360077;4,695929;2,6529605;2,975635;3,240429;3,6251415;3,101173429;5,5349836;14,380032;2,714962;2,474219;1,6049889;2,851964051;29,0828024;1,59218443;20,339068;1,660966;20,498674;nan;1,322147;1,435672032;0,8553035;107,5849895;1,160780682;1,130277;0,7209357;0,9719354;1,0125965;1,002384313;136,980381
2022-12-12;23,326131142;5,969043226;3,828479;4,8245359;4,67027;2,6089791;2,976487;3,232183;3,5568704;3,102067405;5,4691757;14,0996086;2,705413;2,466447;1,5720915;2,851150856;29,0979501;1,5879355;20,23467;1,660378;20,303536;nan;1,322975;1,40327429;0,8451575;109,1657069;1,15781386;1,1456909;0,7252955;1,0002915;1,0063817;0,99699269;134,826737
2022-12-13;23,29369515;5,953911631;3,816498;4,8187089;4,658348;2,5655623;2,977963;3,227772;3,4801931;3,103600933;5,4184072;13,8675014;2,700508;2,460472;1,5479465;2,852267991;29,1130974;1,58623715;20,173466;1,660187;20,022854;nan;1,323682;1,38094703;0,8373301;110,9731904;1,156220272;1,1740051;0,7267536;1,0082406;1,0007421;0,994048751;132,707162
2022-12-14;23,27968055;5,952164627;3,811714;4,8163154;4,657023;2,5760489;2,979311;3,226011;3,4907415;3,104996347;5,4770872;13,9306869;2,698421;2,455523;1,5559273;2,853257105;29,1287498;1,58528561;20,146768;1,660097;20,255804;nan;1,324416;1,379915033;0,8463796;110,6675935;1,155563854;1,1547962;0,742549;1,0034456;1,0022655;0,993054242;133,32589
2022-12-15;23,323299031;5,961666519;3,824411;4,8250488;4,66543;2,5775214;2,981389;3,232;3,498559;3,107152995;5,4914254;13,9254655;2,703925;2,464902;1,5526198;2,856965426;29,1446385;1,58742143;20,165649;1,662072;20,302898;nan;1,325044;1,382447345;0,8490985;106,6914789;1,157765146;1,1385123;0,7378852;0,9848795;1,0014178;0,996044417;133,608474
2022-12-16;23,30955378;5,940832165;3,817412;4,8187739;4,650411;2,5597361;2,982828;3,227348;3,4748376;3,108636248;5,4494347;13,8054263;2,702514;2,460565;1,540762;2,861578095;29,159966;1,58807522;20,168603;1,662074;20,172312;nan;1,325726;1,370955091;0,8421176;105,391166;1,156102651;1,1104438;0,7165537;0,9785402;1,0004101;0,993196834;133,177879
2022-12-19;23,319209533;5,935688471;3,828353;4,8199482;4,647212;2,6085906;2,984264;3,228062;3,524517;3,110120475;5,5297087;14,0658057;2,703745;2,463165;1,5642207;2,862534884;29,1748705;1,58895769;20,177967;1,662994;20,648304;nan;1,326433;1,395670987;0,8554707;103,8256287;1,156383531;1,1127498;0,7134232;0,9678521;1,0056773;0,993481968;135,18855
