CNPJ_FUNDO;DT_COMPTC;VL_QUOTA;VL_PATRIM_LIQ
03.543.447/0001-03;02/05/2023;24,81813486;5746229404
03.543.447/0001-03;03/05/2023;24,84306991;5750351772
03.543.447/0001-03;04/05/2023;24,89084281;5756827732
03.543.447/0001-03;05/05/2023;24,91389087;5766161217
03.543.447/0001-03;08/05/2023;24,93326061;5775235917
03.543.447/0001-03;09/05/2023;24,93573755;5780727607
03.543.447/0001-03;10/05/2023;24,94963379;5785998892
03.543.447/0001-03;11/05/2023;24,9589212;5785215705
03.543.447/0001-03;12/05/2023;24,97657012;5787061543
03.543.447/0001-03;15/05/2023;25,00038725;5796871820
03.543.447/0001-03;16/05/2023;24,97499374;5810812251
03.543.447/0001-03;17/05/2023;24,93235792;5815664346
03.543.447/0001-03;18/05/2023;24,90907943;5849045585
03.543.447/0001-03;19/05/2023;24,90305344;5856193885
03.543.447/0001-03;22/05/2023;24,88108599;5843331027
07.861.554/0001-22;02/05/2023;6,418258776;608441861,5
07.861.554/0001-22;03/05/2023;6,436335566;609448279,7
07.861.554/0001-22;04/05/2023;6,46211884;608700168,4
07.861.554/0001-22;05/05/2023;6,477115542;610112784,7
07.861.554/0001-22;08/05/2023;6,46822196;610136929,6
07.861.554/0001-22;09/05/2023;6,461480015;613679738,2
07.861.554/0001-22;10/05/2023;6,479757901;616700816,4
07.861.554/0001-22;11/05/2023;6,503005646;618913384,2
07.861.554/0001-22;12/05/2023;6,53225366;621697018,1
07.861.554/0001-22;15/05/2023;6,55603544;625319732,6
07.861.554/0001-22;16/05/2023;6,538828955;623731723,1
07.861.554/0001-22;17/05/2023;6,539436223;627412093,4
07.861.554/0001-22;18/05/2023;6,534240226;636793516,2
07.861.554/0001-22;19/05/2023;6,539470436;637853712,4
07.861.554/0001-22;22/05/2023;6,527815395;636716890,9
08.070.841/0001-87;02/05/2023;4,004223;1581297858
08.070.841/0001-87;03/05/2023;4,004289;1578386686
08.070.841/0001-87;04/05/2023;4,015002;1580452286
08.070.841/0001-87;05/05/2023;4,029034;1585437018
08.070.841/0001-87;08/05/2023;4,034876;1586353135
08.070.841/0001-87;09/05/2023;4,039823;1584806054
08.070.841/0001-87;10/05/2023;4,044421;1581721645
08.070.841/0001-87;11/05/2023;4,052101;1582178469
08.070.841/0001-87;12/05/2023;4,056464;1581075277
08.070.841/0001-87;15/05/2023;4,065261;1583151660
08.070.841/0001-87;16/05/2023;4,059664;1577501309
08.070.841/0001-87;17/05/2023;4,064443;1578650626
08.070.841/0001-87;18/05/2023;4,069629;1576948314
08.070.841/0001-87;19/05/2023;4,075108;1577755973
08.070.841/0001-87;22/05/2023;4,073435;1574953713
08.246.318/0001-69;02/05/2023;5,1169481;173666296
08.246.318/0001-69;03/05/2023;5,1257118;175265050,7
08.246.318/0001-69;04/05/2023;5,1361318;175621344,4
08.246.318/0001-69;05/05/2023;5,1419501;176115294,1
08.246.318/0001-69;08/05/2023;5,1410286;176083730,3
08.246.318/0001-69;09/05/2023;5,1398227;176042427,5
08.246.318/0001-69;10/05/2023;5,1474159;176302500,3
08.246.318/0001-69;11/05/2023;5,1574568;176646406,8
08.246.318/0001-69;12/05/2023;5,1670527;176207072,5
08.246.318/0001-69;15/05/2023;5,1763726;177439902,2
08.246.318/0001-69;16/05/2023;5,1719292;177919588,8
08.246.318/0001-69;17/05/2023;5,1708358;178181971,8
08.246.318/0001-69;18/05/2023;5,1720145;178222591,6
08.246.318/0001-69;19/05/2023;5,1738716;178286584
08.246.318/0001-69;22/05/2023;5,1720753;178224684,2
08.266.261/0001-60;02/05/2023;5,016004;136063025,2
08.266.261/0001-60;03/05/2023;5,028001;136486428,8
08.266.261/0001-60;04/05/2023;5,046463;136987594,8
08.266.261/0001-60;05/05/2023;5,056989;137271302,8
08.266.261/0001-60;08/05/2023;5,05086;137104937,3
08.266.261/0001-60;09/05/2023;5,046237;137345291,2
08.266.261/0001-60;10/05/2023;5,059279;137700262
08.266.261/0001-60;11/05/2023;5,0751;138130872,4
08.266.261/0001-60;12/05/2023;5,095472;138683653
08.266.261/0001-60;15/05/2023;5,112268;139139401,1
08.266.261/0001-60;16/05/2023;5,100256;138951786,8
08.266.261/0001-60;17/05/2023;5,099436;139964589,7
08.266.261/0001-60;18/05/2023;5,095304;139851180,1
08.266.261/0001-60;19/05/2023;5,098192;126802765,8
08.266.261/0001-60;22/05/2023;5,08959;126487418,1
09.635.172/0001-06;02/05/2023;2,4476265;203149261,9
09.635.172/0001-06;03/05/2023;2,4424469;202633620,5
09.635.172/0001-06;04/05/2023;2,454261;201200702,2
09.635.172/0001-06;05/05/2023;2,5065745;205475445,9
09.635.172/0001-06;08/05/2023;2,5146272;206136559,3
09.635.172/0001-06;09/05/2023;2,5356241;207857776,9
09.635.172/0001-06;10/05/2023;2,5456098;208338274,6
09.635.172/0001-06;11/05/2023;2,5657683;209963640,6
09.635.172/0001-06;12/05/2023;2,5723075;210498764,6
09.635.172/0001-06;15/05/2023;2,583636;211248447,2
09.635.172/0001-06;16/05/2023;2,563277;209583813,9
09.635.172/0001-06;17/05/2023;2,5839533;206154401,5
09.635.172/0001-06;18/05/2023;2,5969011;207152023
09.635.172/0001-06;19/05/2023;2,6031322;207749074,5
09.635.172/0001-06;22/05/2023;2,5931214;206950138,7
10.740.670/0001-06;02/05/2023;3,126476;7362072372
10.740.670/0001-06;03/05/2023;3,128236;7378415190
10.740.670/0001-06;04/05/2023;3,13021;7393995025
10.740.670/0001-06;05/05/2023;3,13191;7400531549
10.740.670/0001-06;08/05/2023;3,133343;7563733798
10.740.670/0001-06;09/05/2023;3,134385;7580532954
10.740.670/0001-06;10/05/2023;3,135638;7610782095
10.740.670/0001-06;11/05/2023;3,137395;7628586532
10.740.670/0001-06;12/05/2023;3,138394;7646196633
10.740.670/0001-06;15/05/2023;3,13981;7658109290
10.740.670/0001-06;16/05/2023;3,141344;7647298862
10.740.670/0001-06;17/05/2023;3,142583;8171337929
10.740.670/0001-06;18/05/2023;3,144324;7682087429
10.740.670/0001-06;19/05/2023;3,146012;7726611882
10.740.670/0001-06;22/05/2023;3,147405;7731873869
11.061.217/0001-28;02/05/2023;3,433985;475921090
11.061.217/0001-28;03/05/2023;3,439663;475678559,8
11.061.217/0001-28;04/05/2023;3,446815;475316289,3
11.061.217/0001-28;05/05/2023;3,450822;473742942,1
11.061.217/0001-28;08/05/2023;3,449933;473620842,9
11.061.217/0001-28;09/05/2023;3,449017;473495125,8
11.061.217/0001-28;10/05/2023;3,454374;474237806,4
11.061.217/0001-28;11/05/2023;3,461324;475191895,2
11.061.217/0001-28;12/05/2023;3,467993;476523446
11.061.217/0001-28;15/05/2023;3,474227;481907071,4
11.061.217/0001-28;16/05/2023;3,472061;486603990
11.061.217/0001-28;17/05/2023;3,472373;483362371,9
11.061.217/0001-28;18/05/2023;3,473257;483809217,5
11.061.217/0001-28;19/05/2023;3,474806;484324980,8
11.061.217/0001-28;22/05/2023;3,473953;484206157,7
11.182.064/0001-77;02/05/2023;3,545042;1086177604
11.182.064/0001-77;03/05/2023;3,556308;1089671375
11.182.064/0001-77;04/05/2023;3,5761609;1097055569
11.182.064/0001-77;05/05/2023;3,6428637;1118017218
11.182.064/0001-77;08/05/2023;3,6613663;1124203975
11.182.064/0001-77;09/05/2023;3,679424;1129593658
11.182.064/0001-77;10/05/2023;3,7126519;1139706234
11.182.064/0001-77;11/05/2023;3,7507766;1151373541
11.182.064/0001-77;12/05/2023;3,7480062;1150566719
11.182.064/0001-77;15/05/2023;3,764678;1169150976
11.182.064/0001-77;16/05/2023;3,7263607;1157162599
11.182.064/0001-77;17/05/2023;3,7630953;1171134711
11.182.064/0001-77;18/05/2023;3,7959991;1181352855
11.182.064/0001-77;19/05/2023;3,8275435;1190924549
11.182.064/0001-77;22/05/2023;3,8148165;1186906040
11.328.882/0001-35;02/05/2023;3,255644811;6512964642
11.328.882/0001-35;03/05/2023;3,257473884;6520916967
11.328.882/0001-35;04/05/2023;3,259531967;6511682050
11.328.882/0001-35;05/05/2023;3,261331466;6539273545
